ANT1,5.40,-14.60,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
EPD_C9,-21.70,-42.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
IC1,-11.90,12.90,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,9.00,12.00,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,17.50,-6.80,0.00,BMA421,BMA423_BMA423
IC9,-15.30,12.50,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,17.30,2.38,270.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,21.20,-42.60,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,25.50,-42.60,0.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,29.80,-42.60,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-8.30,-0.80,0.00,68uH,MLP2016SR47MT0S1_INDC2016X100N
L7,-18.30,12.10,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,3.20,7.35,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,4.40,-4.70,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-12.90,16.60,0.00,3K3,CPF0201D7K68C1_0201
R18,-13.70,16.60,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DP,62.90,-42.40,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,65.80,-42.40,0.00,5K1,CPF0201D7K68C1_0201
R2,-13.70,15.40,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,71.60,-42.40,0.00,10K,CPF0201D7K68C1_0201
R2_USB,74.50,-42.40,0.00,5K1,CPF0201D7K68C1_0201
R3,-40.40,-54.90,0.00,0,CPF0201D7K68C1_0201
R4,-12.90,15.40,0.00,0,CPF0201D7K68C1_0201
R5,-34.60,-54.80,0.00,10K,CPF0201D7K68C1_0201
R7,-31.70,-54.90,0.00,10K,CPF0201D7K68C1_0201
R8,-28.80,-54.90,0.00,10K,CPF0201D7K68C1_0201
R9,-9.70,13.00,90.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R_PWR_EPD,-23.10,-54.90,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-20.20,-54.90,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-8.50,3.30,90.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-39.50,-84.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-20.70,8.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-40.60,-95.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-35.90,-90.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-23.20,-97.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-23.80,-87.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,-8.10,-97.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-7.30,15.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-7.20,10.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,8.60,-96.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,6.20,-91.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,10.50,-84.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,20.40,-90.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-18.30,8.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,6.00,0.90,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,9.70,-4.90,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,8.50,7.50,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,14.30,10.20,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
